No.	Word	Valence_Mean	Valence_SD	Arousal_Mean	Arousal_SD	Frequency
4639	耐震	6.2	1.304	1.4	0.548	6
4649	打抱不平	6.2	1.304	4.7	1.643	9
4670	瘟疫	2.2	1.304	5.1	1.673	7
4676	虧空	1.8	1.304	6.6	1.517	10
4677	冷嘲熱諷	2.2	1.304	6.8	1.304	8
4690	勞役	3.2	1.304	5.2	1.823	7
4691	逃之夭夭	3.3	1.304	4.3	1.789	9
4696	杯盤狼藉	3.3	1.304	3.8	1.643	0
4703	口臭	2.8	1.304	2.9	2.074	17
4709	可恨	2.2	1.304	5.8	1.924	9
4721	打屁股	4.2	1.304	5.4	2.302	0
4723	烙印	3.3	1.304	6.2	1.643	12
4727	乞求	2.8	1.304	4.3	2.28	10
4772	遜位	4.3	1.304	3.1	1.746	0
4805	失身	2.7	1.304	5.9	2.247	4
4895	懦弱	3.2	1.304	3.6	1.71	19
4946	死寂	2.7	1.304	3.4	2.408	12
4980	重打	3.2	1.304	6.8	1.483	0
4982	逼走	3.3	1.304	6	2.449	0
4995	甜膩	4.8	1.304	4	2	0
5022	心死	2.3	1.304	3.7	2.95	0
5040	恨你	2.7	1.304	7.2	1.483	0
5044	惹上	3.2	1.304	5.1	2.51	7
5045	惹到	3.2	1.304	5.1	2.51	0
5087	心狠手辣	2.7	1.304	5.4	1.517	0
5165	亡命	2.2	1.304	6.3	1.718	5
5200	乘勝追擊	6.8	1.304	7.3	1.204	6
5223	不恥	3.3	1.304	4.8	1.789	0
5260	挺而走險	4.2	1.304	5.6	2.535	0
5292	輸光	2.8	1.304	6.3	1.483	0
5390	痛哭	2.7	1.304	5.6	0.822	17
5391	慟哭	2.7	1.304	5.6	0.822	0
5505	濃豔	5.8	1.304	5.5	0.707	0
3898	瀟灑	7.1	1.294	6	1.414	38
4679	無賴	2.6	1.294	6	1.414	9
4743	連累	2.9	1.294	4	1.696	10
4843	膽大妄為	3.6	1.294	6	1.458	0
4918	冤孽	3.1	1.294	5	1	0
5220	猛砍	2.6	1.294	7.8	1.037	0
3483	俘獲	5.1	1.281	4.2	1.86	0
3808	縝密	6.5	1.275	3.8	1.304	10
3948	霸道	3	1.275	7.3	1.565	17
4333	光明正大	7	1.275	5	1.369	8
4807	叛國	3	1.275	6	1.732	0
4983	離間	3	1.275	4.3	1.924	0
5413	折舊	4	1.275	3.4	1.294	14
452	弄痛	3	1.265	6.4	1.497	0
535	忠實	7	1.265	5.8	1.47	59
1633	驚險	4	1.265	7.6	0.49	28
2832	逼迫	3	1.265	7	1.095	28
2902	逼使	3.5	1.265	6	0.949	11
3060	擊退	5.5	1.265	6.9	0.663	0
3223	精確度	6	1.265	4.1	1.428	8
4461	打退	5.5	1.265	6.9	0.663	0
2339	屍體	3	1.26	3.8	1.94	91
3621	不遑多讓	6.2	1.255	4	1.581	7
3718	頗重	4.3	1.255	5	1.541	0
3806	歷久不衰	7.2	1.255	4.6	0.894	12
3964	保佑	6.8	1.255	5	0.707	29
4334	全力以赴	7.7	1.255	6.9	1.597	39
4668	低水平	2.8	1.255	3.6	1.817	0
4885	砍擊	4.2	1.255	5.2	1.789	0
4911	撕破臉	2.8	1.255	7	1.225	0
5379	吹捧	4.2	1.255	4.7	1.304	0
3253	望子成龍	6.7	1.249	6.1	1.625	11
3500	癡狂	5.7	1.249	7.7	0.51	0
3680	腫痛	2.9	1.245	6.1	1.597	8
3800	數一數二	7.1	1.245	7.1	1.084	13
3858	盲從	3.1	1.245	5.3	1.483	9
3933	奢求	4.1	1.245	6.4	0.652	5
3984	乾脆	6.1	1.245	5.8	1.304	167
4074	所費不貲	2.9	1.245	4.1	1.245	5
4143	風騷	3.9	1.245	7.9	1.245	22
4310	令人髮指	1.9	1.245	8.2	0.908	0
4317	可圈可點	7.9	1.245	6	1.061	5
4572	愁容滿面	2.9	1.245	4.2	1.891	0
4607	漠然	3.9	1.245	2	1.414	12
4715	鬼子	1.9	1.245	6.6	1.817	6
4913	憤恨	3.1	1.245	6.6	1.294	6
4919	狡辯	3.1	1.245	5.1	1.597	5
4928	假仁假義	3.1	1.245	4.1	2.275	0
4937	戰慄	3.1	1.245	6.9	2.302	5
5017	橫肉	2.9	1.245	4.1	2.191	0
5039	水性楊花	3.1	1.245	4.1	1.597	0
5128	病魔	3.1	1.245	2.2	0.447	10
5299	轟動一時	5.9	1.245	7.7	1.204	8
5360	喪親	1.9	1.245	6.5	1.871	0
5368	女巫	4.1	1.245	3.4	1.673	14
3616	猙獰	2	1.225	6.1	1.245	9
3635	理所當然	6	1.225	4.9	1.517	74
3658	童叟無欺	7	1.225	4	1.414	0
3668	黑白分明	6	1.225	4.2	1.643	7
3721	嘴硬	3	1.225	5.9	1.597	0
3762	慚愧	2.5	1.225	5.1	1.557	51
3830	難受	2	1.225	7.3	1.304	33
3832	趨之若騖	5.5	1.225	5.7	1.565	0
3851	體無完膚	2	1.225	6.6	1.673	0
3869	激化	6	1.225	8	1.414	5
3976	耗損	4	1.225	5.2	1.643	9
3977	損耗	4	1.225	5.2	1.643	9
3995	水腫	3	1.225	4.2	0.837	13
4065	出錯	2.5	1.225	5.2	1.304	24
4076	抽筋	4	1.225	6.2	1.304	9
4257	過重	3	1.225	3.8	1.44	26
4575	迂迴	4	1.225	2.3	1.204	15
4589	淒然	2.5	1.225	4.5	1.225	10
4605	苦差事	3	1.225	4.3	1.483	5
4612	引頸企盼	7	1.225	5.4	1.14	6
4681	濫打	3	1.225	6.4	1.517	0
4734	污漬	4	1.225	1.9	1.746	0
4939	匪諜	3	1.225	3.9	2.356	5
4958	亂罵	3	1.225	6.4	2.191	0
5032	死光	2	1.225	5.8	2.588	8
5033	死光光	2	1.225	5.8	2.588	5
5166	凶險	2.5	1.225	7	1.414	0
5179	畏縮	3.5	1.225	2	0	16
2991	出眾	6.8	1.208	4.8	1.503	17
3166	有效性	5.8	1.208	5.3	1.72	0
3461	自勉	6.2	1.208	5	1.14	0
3503	有權	5.8	1.208	4.8	2.04	0
3553	排山倒海	3.7	1.204	6.2	1.095	14
3716	旗鼓相當	7.3	1.204	5	1.581	6
3722	稱霸	7.3	1.204	7.7	0.975	17
3854	兼備	6.7	1.204	3.6	1.342	13
3864	擴增	6.7	1.204	5.1	1.025	49
3937	漏電	3.7	1.204	6.1	1.517	0
3989	昏暗	3.7	1.204	3.1	1.517	24
4013	飢渴	2.7	1.204	3.4	1.949	8
4028	大驚失色	2.7	1.204	8	0.791	5
4035	出糗	2.3	1.204	5.8	1.304	6
4041	刺鼻	2.3	1.204	6.5	1.225	10
4042	受創	2.3	1.204	6.9	1.432	4
4080	氣爆	2.3	1.204	8.6	0.894	0
4168	幽暗	3.3	1.204	3.2	1.304	23
4195	不勝枚舉	6.3	1.204	6	1.369	29
4362	行不通	3.3	1.204	4.1	1.387	29
4599	黑店	2.7	1.204	4.9	1.432	0
4601	卑微	2.7	1.204	3.2	1.304	20
4608	嗤之以鼻	2.7	1.204	4.7	1.565	14
4615	上鉤	3.7	1.204	3.8	1.643	6
4642	更壞	2.7	1.204	3.6	1.342	0
4663	放寬	6.7	1.204	1.6	0.548	117
4876	鉗制	3.7	1.204	4.4	1.782	0
5065	正經八百	6.3	1.204	1.8	0.837	4
5119	冒失	3.7	1.204	4.3	2.439	0
5120	冒冒失失	3.7	1.204	4.3	2.439	0
5144	心驚肉跳	3.3	1.204	7.2	1.483	9
5244	煩死	2.7	1.204	5.7	1.204	0
284	火熱	6.4	1.2	7.2	1.166	14
390	污穢	2.4	1.2	7.2	0.98	15
400	自負	4.6	1.2	6	1.095	14
406	至高無上	7.6	1.2	6.8	1.47	12
465	抗爭	3.4	1.2	7.2	0.748	101
533	忠孝	7.4	1.2	5.8	1.166	38
578	沾沾自喜	4.6	1.2	6	1.095	13
581	玩笑	5.6	1.2	6	0.894	33
895	殺	1.6	1.2	7.8	1.166	423
1058	提防	4.6	1.2	6	1.095	20
1073	渴望	5.6	1.2	5.8	1.166	57
1176	慈悲	5.6	1.2	5	2.53	72
1241	詼諧	6.4	1.2	4.6	1.356	19
1360	憐惜	4.6	1.2	4.8	0.98	6
1386	歎為觀止	6.6	1.2	7.6	1.02	8
2122	熱力	5.6	1.2	3.2	2.04	17
2708	攻佔	4.6	1.2	5.6	0.8	28
2976	滿載而歸	6.9	1.2	5.6	1.985	13
2986	鍾情	5.9	1.2	4.1	1.497	13
3024	締造者	5.6	1.2	2.9	1.356	0
3076	對不起	2.9	1.2	5.2	2.04	177
3120	造謠	3.4	1.2	5.9	0.49	8
3152	論戰	3.6	1.2	6.5	1	15
3181	知覺	5.6	1.2	4.6	1.2	34
3185	聖人	7.4	1.2	4.5	1.342	36
3232	洋洋	6.1	1.2	4.6	2.437	8
3239	暢快	7.1	1.2	7	1.14	12
3248	奇跡	7.4	1.2	7.2	0.927	23
3368	槍聲	3.4	1.2	4.4	2.653	12
3485	引吭高歌	6.4	1.2	6.9	0.735	0
3549	奢侈	3.4	1.194	5.5	0.5	35
3587	游刃有餘	7.6	1.194	5	1.541	9
3667	黃袍加身	7.6	1.194	7.4	1.342	0
3826	壞掉	2.6	1.194	5.2	1.304	16
3932	無法自拔	3.9	1.194	6.5	1.5	0
3966	改變不了	3.6	1.194	3.6	1.342	0
4032	有著落	6.6	1.194	3	1.414	7
4033	百發百中	7.6	1.194	7.1	1.517	0
4282	前所未有	6.4	1.194	6.7	0.975	52
4283	前所未見	6.4	1.194	6.7	0.975	10
4316	叫好	7.4	1.194	7.6	0.418	39
4792	嫉妒	3.4	1.194	5.8	1.605	38
4794	失魂落魄	3.1	1.194	4.3	1.891	0
4795	打爛	3.6	1.194	5.4	1.084	0
4857	鬧翻	3.1	1.194	6.6	1.981	7
4890	六親不認	3.1	1.194	5.3	1.396	0
5168	鬼叫	3.4	1.194	5.3	1.857	0
5238	怒髮衝冠	2.4	1.194	8.4	0.652	0
3712	有助於	6.5	1.173	3.2	1.44	180
3749	醜陋	2	1.173	5.9	1.245	27
3776	實實在在	7	1.173	3.1	1.342	13
4256	當機	3.5	1.173	4	1.458	13
4329	丟失	3	1.173	5.6	1.084	0
4731	打偏	4	1.173	2.7	1.681	0
4751	砍斷	4	1.173	4.1	1.636	6
4779	玷污	2.5	1.173	6.2	1.44	0
4862	潸然淚下	4	1.173	4.9	1.782	0
4925	小人	3	1.173	4.4	2.535	42
5089	踉蹌	4	1.173	5	2.345	5
5134	破掉	4	1.173	3.2	2.49	4
1668	建設	6.2	1.17	3.8	1.17	1065
1712	堅持	6.2	1.17	5.2	1.17	459
1816	克服	5.2	1.17	5.4	1.2	189
1820	適應	5.2	1.17	4	1.41	344
1845	名譽	6.2	1.17	4.2	1.47	59
2023	褒揚	6.2	1.17	5.2	0.98	0
2043	關愛	6.2	1.17	4	1.1	102
2314	死者	3.2	1.17	4.4	2.33	79
2444	撲滅	3.8	1.17	6.2	0.75	20
2607	進攻	4.2	1.17	6.2	0.98	58
2686	消耗	3.8	1.17	4.4	1.2	57
2720	怎樣	4.2	1.17	4.4	1.62	195
2726	捕捉	4.2	1.17	5.4	0.49	106
18	不悅	3.2	1.166	6	1.265	19
19	不爽	2.8	1.166	7.2	0.4	0
37	耶	7.2	1.166	7.2	1.166	229
62	失敗	2.2	1.166	7.2	1.166	323
90	遊戲	5.8	1.166	4.8	1.72	478
191	憐憫	5.8	1.166	5	1.414	19
221	七竅生煙	2.2	1.166	7.8	1.166	0
225	上當	3.2	1.166	6.2	1.72	43
250	凶	2.8	1.166	7.2	0.98	18
252	分手	2.8	1.166	6.4	1.855	99
283	毛骨悚然	2.2	1.166	8	0.894	8
319	打敗	6.2	1.166	6	0.894	71
337	丟下	2.8	1.166	5.4	2.245	31
349	吃驚	3.8	1.166	7.8	0.4	49
357	好棒	7.2	1.166	6.6	1.356	25
386	死期	2.8	1.166	6.6	1.625	0
419	免費	6.2	1.166	4.8	2.135	332
440	孝	7.2	1.166	4	1.265	18
448	屁眼	1.8	1.166	5.6	1.356	0
451	庇護	6.2	1.166	5.6	0.49	32
456	忘恩負義	1.8	1.166	7.8	0.98	5
462	抑制	4.8	1.166	5.4	1.855	91
497	刺傷	2.8	1.166	7	1.265	12
498	刺激	4.2	1.166	8	0.632	183
534	忠誠	7.2	1.166	5.8	1.47	29
547	承擔	5.2	1.166	5.4	1.356	106
720	倔強	4.2	1.166	6.4	0.8	17
734	害羞	4.2	1.166	4.6	1.356	62
751	悔恨	2.8	1.166	7.4	0.49	11
830	迷亂	3.2	1.166	6.2	0.748	4
870	強硬	4.8	1.166	7	1.265	50
884	掙扎	3.2	1.166	7.4	0.8	136
925	甜頭	5.8	1.166	4.6	1.855	6
933	窒息	2.2	1.166	4.8	2.561	28
944	細心	5.2	1.166	3.6	1.2	98
1012	報仇	2.8	1.166	8	0	22
1128	開朗	7.2	1.166	5.4	1.356	62
1190	極樂	6.8	1.166	6.6	0.8	0
1232	義憤	3.2	1.166	7.6	0.49	0
1359	憎	2.2	1.166	6.8	1.327	0
1530	艱鉅	3.2	1.166	7.2	0.748	21
1557	寵愛	6.8	1.166	5.6	2.059	27
1578	嚴酷	2.8	1.166	7.6	1.2	14
1579	嚴厲	3.8	1.166	7.4	0.49	68
1644	靈感	6.2	1.166	4.2	1.166	76
1653	貪污	1.8	1.166	7.6	1.744	63
2864	沒有用	3.2	1.166	4.1	1.744	48
2931	一蹶不振	2.8	1.166	4.1	2.2	0
3045	困窘	3.2	1.166	5	1.789	12
3070	憤慨	2.8	1.166	7	0.548	19
3115	推諉	3.7	1.166	5.4	1.02	0
3129	偏頗	3.7	1.166	5.5	0.894	23
3155	痙攣	4.3	1.166	4.7	0.98	13
3175	吃苦	4.2	1.166	5.8	1.47	30
3261	渴盼	6.3	1.166	7	0.707	0
3268	從容不迫	6.7	1.166	3.8	1.364	0
3384	自立自強	6.2	1.166	5.7	1.4	9
3494	貞潔	6.2	1.166	2.7	1.077	0
4454	憐憫心	5.8	1.166	5	1.414	0
3244	先見之明	6.6	1.158	5	1.517	0
3539	惠顧	5.6	1.158	4.3	0.927	0
3657	硬挺	7.2	1.151	5.3	1.565	0
3719	鼻塞	3.2	1.151	2.8	0.837	6
3835	簡便	7.2	1.151	3.2	1.643	28
3893	嚴苛	3.2	1.151	5.8	1.525	19
3895	豐收	7.2	1.151	6.7	1.204	50
3896	穩當	7.3	1.151	4.6	1.14	7
4068	始終如一	6.7	1.151	3.8	1.304	5
4307	扎實	7.8	1.151	3.3	1.483	7
4325	甘醇	6.7	1.151	4.2	1.44	0
4343	好聽	7.3	1.151	6.8	0.57	88
4355	汙濁	3.2	1.151	3.6	1.194	0
4392	周延	7.2	1.151	4.4	0.548	24
4395	奇貨可居	7.2	1.151	5.8	1.525	4
4397	紮實	7.8	1.151	3.3	1.483	45
4626	漏球	3.2	1.151	3.9	1.432	0
4784	毒殺	2.2	1.151	6.2	1.204	0
4896	共體時艱	6.3	1.151	3.8	1.304	0
4907	荒蕪	3.7	1.151	3	1.581	21
5043	死皮賴臉	2.8	1.151	4.1	2.191	0
5092	投敵	2.8	1.151	3.6	1.14	0
5215	顛沛流離	3.2	1.151	4.7	2.11	7
5311	亡羊補牢	5.2	1.151	4.4	1.294	17
3121	潛伏	4	1.14	3.8	1.166	23
3170	順從	6	1.14	5.2	0.748	21
3292	燙傷	3	1.14	5.1	2.596	17
3427	同情心	5.5	1.14	4.2	1.47	10
3558	夠格	7.4	1.14	6.8	1.304	6
3565	從善如流	6.6	1.14	6	1.173	5
3577	通風	5.4	1.14	3.9	1.14	36
3578	單純	6.4	1.14	3.6	1.14	240
3591	絞痛	3.1	1.14	8.3	0.975	4
3595	超人	7.4	1.14	7.6	1.14	22
3598	開趴	6.9	1.14	7.9	1.14	0
3618	粗淺	3.6	1.14	3.2	1.304	13
3681	載浮載沉	3.4	1.14	4	1.871	0
3682	載沉載浮	3.4	1.14	4	1.871	0
3689	發霉	2.4	1.14	4.4	1.557	6
3692	爽玩	7.6	1.14	6.9	1.673	0
3696	過載	2.9	1.14	5.8	1.351	0
3705	飽和	5.4	1.14	3.2	1.44	35
3725	貌美	7.4	1.14	4.3	1.204	19
3816	無解	2.6	1.14	4.7	1.304	9
3827	爛掉	2.1	1.14	6	1	4
3842	髒兮兮	2.1	1.14	3.6	1.14	13
3860	耐不住	3.6	1.14	7.2	0.57	0
3880	超悶	2.1	1.14	4.9	1.245	0
3894	簡約	6.1	1.14	3.8	1.483	6
3897	難能可貴	7.4	1.14	7	1.173	17
3900	纖弱	3.9	1.14	3.8	1.255	4
3903	驟變	3.1	1.14	7	1.414	0
3924	滋生	3.1	1.14	3.8	1.643	18
3939	曠日廢時	2.6	1.14	3.6	1.342	4
3946	騷包	3.6	1.14	5.2	1.525	5
3962	回味	6.4	1.14	4.6	1.194	49
3968	抵不過	3.6	1.14	3.8	1.643	0
3979	嫌棄	2.4	1.14	6.1	1.245	6
3991	一氣呵成	7.4	1.14	7.6	1.14	8
3996	出血	2.4	1.14	6.8	1.483	61
3999	生鏽	3.4	1.14	2.8	1.304	18
4001	三生有幸	6.4	1.14	6.8	1.304	0
4014	乾巴巴	2.6	1.14	2	0.707	0
4037	旺盛	7.1	1.14	2.4	1.517	89
4044	迎刃而解	7.6	1.14	3.2	1.643	18
